"Name","Species","GRIN","Synonym","Breeding Program","Parent1","Parent2","Pedigree","Description"
"PI94481","aestivum","PI 94481","","NSG","","","","Landrace line from Chelyabinsk Russian Federation"
"PI94484","aestivum","PI 94484","","NSG","","","","Landrace line from Former Soviet Union"
"PI94489","aestivum","PI 94489","","NSG","","","","Landrace line from Qashqadaryo Uzbekistan"
"PI94499","aestivum","PI 94499","","NSG","","","","Landrace line from Kharkiv Ukraine"
"PI94503","aestivum","PI 94503","","NSG","","","","Landrace line from Kharkiv Ukraine"
"PI94505","aestivum","PI 94505","","NSG","","","","Landrace line from Kharkiv Ukraine"
"PI94510","aestivum","PI 94510","","NSG","","","","Landrace line from Ukraine"
"PI94514","aestivum","PI 94514","","NSG","","","","Landrace line from Krym Ukraine"
"PI94520","aestivum","PI 94520","","NSG","","","","Landrace line from Nagorno-Karabakh Azerbaijan"
"PI94538","aestivum","PI 94538","","NSG","","","","Landrace line from Turkmenistan"
"PI94552","aestivum","PI 94552","","NSG","","","","Cultivated line from Italy"
"PI94554","aestivum","PI 94554","","NSG","","","","Cultivated line from Mongolia"
"PI94555","aestivum","PI 94555","","NSG","","","","Cultivated line from Mongolia"
"PI94562","aestivum","PI 94562","","NSG","","","","Cultivated line from Algeria"
"PI94563","aestivum","PI 94563","","NSG","","","","Landrace line from Israel"
"PI94564","aestivum","PI 94564","","NSG","","","","Landrace line from Israel"
"PI94565","aestivum","PI 94565","","NSG","","","","Landrace line from Israel"
"PI94566","aestivum","PI 94566","","NSG","","","","Landrace line from Israel"
"PI94567","aestivum","PI 94567","","NSG","","","","Landrace line from Israel"
"PI94568","aestivum","PI 94568","","NSG","","","","Landrace line from Israel"
"PI94570","aestivum","PI 94570","","NSG","","","","Landrace line from Greece"
"PI94571","aestivum","PI 94571","","NSG","","","","Landrace line from Greece"
"PI94590","aestivum","PI 94590","","NSG","","","","Landrace line from Uzbekistan"
"PI94597","aestivum","PI 94597","","NSG","","","","Cultivated line from Malmohus Sweden"
"PI94701","durum","PI 94701","","NSG","","","","Landrace line from Ancient Palestine"
"PI94703","durum","PI 94703","","NSG","","","","Landrace line from Ancient Palestine"
"PI94705","durum","PI 94705","","NSG","","","","Landrace line from Ancient Palestine"
"PI94710","durum","PI 94710","","NSG","","","","Landrace line from Former Soviet Union"
"PI94713","durum","PI 94713","","NSG","","","","Landrace line from Italy"
"PI94757","aestivum","PI 94757","","NSG","","","","Landrace line from Sirak Armenia"
"PI94758","durum","PI 94758","","NSG","","","","Cultivated line from Ethiopia"
"PIATTI","aestivum","PI 192273","PI192273","NSG","","","","Cultivar from Austria"
"PICOTA11","aestivum","CItr 15172","CITR15172","NSG","","","","Breeding line from Bolivia"
"PIKA","aestivum","PI 192256","PI192256","NSG","","","","Cultivar from Finland"
"PINDOS","aestivum","PI 338533","PI338533","NSG","","","","Cultivar from Macedonia Greece"
"PING_YUAN50","aestivum","PI 435113","PI435113","NSG","","","","Cultivated line from Henan China"
"PIONEER","aestivum","PI 192466","PI192466","NSG","","","","Cultivated line from Mozambique"
"PIROTRIKS28|PI414413","aestivum","PI 414413","PI414413","NSG","","","","Cultivar from Aqmola Kazakhstan"
"PIROTRIKS28|PI438967","aestivum","PI 438967","PI438967","NSG","","","","Cultivar from Aqmola Kazakhstan"
"PIROTRIKS50","aestivum","PI 591858","PI591858","NSG","","","","Cultivar from Samara Russian Federation"
"PISA","aestivum","PI 236444","PI236444","NSG","","","","Cultivar from Italy"
"PK15896","aestivum","PI 491378","PI491378","NSG","","","","Landrace line from Baluchistan Pakistan"
"PLAINE","aestivum","PI 351174","PI351174","NSG","","","","Cultivar from Vaud Switzerland"
"PLANALTO","aestivum","PI 193919","PI193919","NSG","","","","Cultivar from Rio Grande do Sul Brazil"
"PLANTAHOF3","aestivum","PI 192582","PI192582","NSG","","","","Cultivar from Switzerland"
"PLISKA","aestivum","PI 565303","PI565303","NSG","","","","Cultivar from Bulgaria"
"PM23","aestivum","PI 344059","PI344059","NSG","","","","Cultivar from Cundinamarca Colombia"
"PNE196-2","aestivum","PI 478031","PI478031","NSG","","","","Landrace line from Baluchistan Pakistan"
"PNE198-6","aestivum","PI 478037","PI478037","NSG","","","","Landrace line from Baluchistan Pakistan"
"PNE212-2","aestivum","PI 478054","PI478054","NSG","","","","Landrace line from Baluchistan Pakistan"
"PNE225-1","aestivum","PI 478071","PI478071","NSG","","","","Landrace line from Baluchistan Pakistan"
"PNE229-4","aestivum","PI 478083","PI478083","NSG","","","","Landrace line from Baluchistan Pakistan"
"PNE240-3","aestivum","PI 478106","PI478106","NSG","","","","Landrace line from Baluchistan Pakistan"
"PNE244-2","aestivum","PI 478286","PI478286","NSG","","","","Landrace line from Baluchistan Pakistan"
"PNE259-1","aestivum","PI 478137","PI478137","NSG","","","","Landrace line from Baluchistan Pakistan"
"PNE368-1","aestivum","PI 478189","PI478189","NSG","","","","Landrace line from Baluchistan Pakistan"
"PNE374-4","aestivum","PI 478197","PI478197","NSG","","","","Landrace line from Baluchistan Pakistan"
"PNE377-1","aestivum","PI 478199","PI478199","NSG","","","","Landrace line from Baluchistan Pakistan"
"PNE381-1","aestivum","PI 478203","PI478203","NSG","","","","Landrace line from Baluchistan Pakistan"
"PNE382-1","aestivum","PI 478204","PI478204","NSG","","","","Landrace line from Baluchistan Pakistan"
"PNE409-2","aestivum","PI 478241","PI478241","NSG","","","","Landrace line from Baluchistan Pakistan"
"POCHARD__S","durum","PI 520362","PI520362","NSG","","","","Breeding line from Federal District Mexico"
"POHJOLA","aestivum","PI 181459","PI181459","NSG","","","","Cultivar from Finland"
"POLESSKAJA71","aestivum","PI 572618","PI572618","NSG","","","","Cultivar from Kiev Ukraine"
"POLTAVKA","aestivum","PI 41021","PI41021","NSG","","","","Landrace line from Dnipropetrovsk Ukraine"
"POMBINHO","durum","PI 192820","PI192820","NSG","","","","Landrace line from Portugal"
"POMERELLE","aestivum","PI 592983","IDO448, PI592983","UIA","","","A771084S-B/IDO246","Cultivar from Idaho United States"
"PONDUS","aestivum","PI 190914","PI190914","NSG","","","","Cultivar from Malmohus Sweden"
"PORZANA__S","durum","PI 520416","PI520416","NSG","","","","Breeding line from Federal District Mexico"
"POSO","aestivum","PI 192251","PI192251","NSG","","","","Cultivar from California United States"
"POSO48","aestivum","CItr 12691","CITR12691","NSG","","","","Cultivar from California United States"
"POSTOLOPYTSKA_PRESIVKAKMEN58","aestivum","PI 192225","PI192225","NSG","","","","Cultivar from Czechoslovakia"
"POTIA_NADIAD","durum","PI 41343","PI41343","NSG","","","","Landrace line from Gujarat India"
"POUBIRU","aestivum","PI 82469","PI82469","NSG","","","","Landrace line from Pyongan Nam Korea  North"
"POWER13","aestivum","PI 221371","PI221371","NSG","","","","Cultivated line from Serbia"
"PPG-1","aestivum","PI 340737","PI340737","NSG","","","","Cultivar from Moscow Russian Federation"
"PR2360","aestivum","PI 600836","PI600836","NSG","","","","Cultivar from Minnesota United States"
"PRAGA","aestivum","PI 428665","PI428665","NSG","","","","Cultivar from Czechoslovakia"
"PRAGANA_PRETA","durum","PI 192044","PI192044","NSG","","","","Landrace line from Portugal"
"PRAGANOSO_DE_MUSCAPA","aestivum","PI 192493","PI192493","NSG","","","","Cultivated line from Mozambique"
"PRECOCE|PI192169","aestivum","PI 192169","PI192169","NSG","","","","Landrace line from Portugal"
"PRECOCE|PI192206","aestivum","PI 192206","PI192206","NSG","","","","Landrace line from Beja Portugal"
"PREROVSKA_ALBA","aestivum","PI 428649","PI428649","NSG","","","","Cultivar from North Moravia Czech Republic"
"PREROVSKA_PK","aestivum","PI 428669","PI428669","NSG","","","","Cultivar from North Moravia Czech Republic"
"PRESTON","aestivum","CItr 3328","CITR3328","NSG","","","","Cultivar from Ontario Canada"
"PRIMA|CITR14351","aestivum","CItr 14351","CITR14351","NSG","","","","Cultivar from Namur Belgium"
"PRIMA|PI193070","aestivum","PI 193070","PI193070","NSG","","","","Cultivar from Namur Belgium"
"PRIMEPI","aestivum","PI 316002","PI316002","NSG","","","","Cultivar from France"
"PRIMEX","aestivum","PI 324155","PI324155","NSG","","","","Cultivar from Rift Valley Kenya"
"PRIMUS","aestivum","PI 254844","PI254844","NSG","","","","Cultivar from Austria"
"PRINCE_LEOPOLD","aestivum","PI 351463","PI351463","NSG","","","","Cultivar from Namur Belgium"
"PRINQUAL","aestivum","PI 428528","PI428528","NSG","","","","Cultivar from Ville-de-Paris France"
"PROFESSEUR_DELOS","aestivum","PI 152260","PI152260","NSG","","","","Cultivar from Namur Belgium"
"PROFESSEUR_JOURNEE","aestivum","PI 282905","PI282905","NSG","","","","Cultivated line from Buenos Aires Argentina"
"PROGRESS|PI174688","aestivum","PI 174688","PI174688","NSG","","","","Cultivar from France"
"PROGRESS|PI181470","aestivum","PI 181470","PI181470","NSG","","","","Cultivated line from Finland"
"PROHIBITION","aestivum","PI 565361","PI565361","NSG","","","","Cultivar from Oregon United States"
"PROVINCIALE","durum","PI 274682","PI274682","NSG","","","","Cultivated line from Poland"
"PRZEVALSKAJA","aestivum","PI 418571","PI418571","NSG","","","","Cultivar from Kyrgyzstan"
"PSATHAS|CITR14978","durum","CItr 14978","CITR14978","NSG","","","","Landrace line from Cyprus"
"PSATHAS|PI237650","aestivum","PI 237650","PI237650","NSG","","","","Landrace line from Cyprus"
"PUDMERICKA_CERVENOCLASA","aestivum","PI 294888","PI294888","NSG","","","","Cultivated line from Bulgaria"
"PUSA_FLORENCE","aestivum","PI 428421","PI428421","NSG","","","","Cultivated line from Giza Egypt"
"PUSA100","aestivum","PI 185375","PI185375","NSG","","","","Cultivar from India"
"PUSALKA","aestivum","PI 476787","PI476787","NSG","","","","Cultivar from Bulgaria"
"PUUN","aestivum","PI 361853","PI361853","NSG","","","","Cultivated line from Denmark"
"PW3","durum","PI 325850","PI325850","NSG","","","","Cultivar from India"
"Q10.120","aestivum","PI 519779","PI519779","NSG","","","","Breeding line from Chile"
"QP330-1C-1C-1C-1C","aestivum","PI 519792","PI519792","NSG","","","","Breeding line from Chile"
"QUERN","aestivum","PI 313098","PI313098","NSG","","","","Cultivar from Dublin Ireland"
"QUIMORA","aestivum","PI 565238","PI565238","NSG","","","","Landrace line from Chuquisaca Bolivia"
"R-123|PI480478","aestivum","PI 480478","PI480478","NSG","","","","Cultivated line from Chuquisaca Bolivia"
"R-123|PI480479","aestivum","PI 480479","PI480479","NSG","","","","Cultivated line from Chuquisaca Bolivia"
"R-124","aestivum","PI 480480","PI480480","NSG","","","","Cultivated line from Chuquisaca Bolivia"
"R-138","aestivum","PI 478500","PI478500","NSG","","","","Landrace line from Potosi Bolivia"
"R-18","aestivum","PI 384486","PI384486","NSG","","","","Cultivated line from Eritrea"
"R-88","durum","PI 478427","PI478427","NSG","","","","Cultivated line from Cochabamba Bolivia"
"R.R.21","aestivum","PI 429323","PI429323","NSG","","","","Breeding line from Yemen"
"R023","aestivum","PI 192864","PI192864","NSG","","","","Cultivated line from Finland"
"R100171-78","aestivum","PI 519653","PI519653","NSG","","","","Breeding line from Brazil"
"R14","aestivum","PI 184258","PI184258","NSG","","","","Cultivated line from Osjecko-baranjska zu Croatia"
"R24","aestivum","CItr 14442","CITR14442","NSG","","","","Landrace line from Shewa Ethiopia"
"R345","aestivum","CItr 14450","CITR14450","NSG","","","","Landrace line from Shewa Ethiopia"
"R64","aestivum","PI 238391","PI238391","NSG","","","","Breeding line from Rift Valley Kenya"
"RADOSINSKA","aestivum","PI 285880","PI285880","NSG","","","","Cultivar from West Slovakia Slovakia"
"RADOSINSKA_DORADE","aestivum","PI 428651","PI428651","NSG","","","","Cultivar from West Slovakia Slovakia"
"RADOSINSKA_KAROLA","aestivum","PI 428638","PI428638","NSG","","","","Cultivar from West Slovakia Slovakia"
"RAINUGI","aestivum","PI 87987","PI87987","NSG","","","","Landrace line from Hamgyong Puk Korea  North"
"RAJEH","aestivum","PI 176234","PI176234","NSG","","","","Landrace line from Nepal"
"RAMSEY","durum","CItr 13246","CITR13246","NSG","","","","Cultivar from North Dakota United States"
"RAMZES","aestivum","PI 370724","PI370724","NSG","","","","Cultivar from Poland"
"RANA_ZEBA","durum","PI 337647","PI337647","NSG","","","","Landrace line from Afghanistan"
"RANG","aestivum","PI 383403","PI383403","NSG","","","","Cultivar from Malmohus Sweden"
"RANJAJA73","aestivum","PI 572636","PI572636","NSG","","","","Cultivar from Kiev Ukraine"
"RANKA","aestivum","PI 184185","PI184185","NSG","","","","Landrace line from Bosnia and Herzegovina"
"RASPINEGRO_DE_ALCOLEA","durum","PI 191183","PI191183","NSG","","","","Landrace line from Cordoba Spain"
"RATBORSKA_MAJA","aestivum","PI 428652","PI428652","NSG","","","","Cultivar from Czechoslovakia"
"RAVEN","aestivum","PI 330959","PI330959","NSG","","","","Cultivar from New South Wales Australia"
"RCAT000409","aestivum","PI 615367","PI615367","NSG","","","","Landrace line from Gyor-Sopron Hungary"
"RCAT000491","aestivum","PI 615369","PI615369","NSG","","","","Landrace line from Gyor-Sopron Hungary"
"RCAT003313","aestivum","PI 615373","PI615373","NSG","","","","Landrace line from Szabolcs-Szatmar Hungary"
"RCAT003418","aestivum","PI 615375","PI615375","NSG","","","","Landrace line from Bekes Hungary"
"RCAT003784","aestivum","PI 615378","PI615378","NSG","","","","Landrace line from Csongrad Hungary"
"RCAT004555","aestivum","PI 615386","PI615386","NSG","","","","Landrace line from Bacs-Kiskun Hungary"
"REA77-2","aestivum","CItr 17774","CITR17774","NSG","","","","Breeding line from Washington United States"
"REASANTE|PI94344","aestivum","PI 94344","PI94344","NSG","","","","Landrace line from Armenia"
