Trial,location,planting date,harvest date,latitude,longitude
GRINcore_1989w_StripeRust_Pullman,"Pullman, WA", 1988-10-01, 1989-07-01, 44.73, -117.18
GRINcore_1990w_StripeRust_Pullman,"Pullman, WA", 1989-10-01, 1990-07-01, 44.73, -117.18
GRINcore_1992w_StripeRust_Pullman,"Pullman, WA", 1991-10-01, 1992-07-01, 44.73, -117.18
NSGCstriperust_2011_UCD_Abate,"Davis, CA", 2010-11-18, 2011-05-05, 38.54, -121.736
NSGCstriperust_2011_UCD_Jackson,"Davis, CA", 2010-11-18, 2011-05-05, 38.54, -121.736
NSGCcoreStriperust_2012_UCD,"Davis, CA", 2011-10-25, 2012-05-15, 38.54, -121.736
NSGCplus_2012_UCD_agron,"Davis, CA", 2011-11-16, 2012-05-15, 38.54, -121.736
NSGCplus_2012_UCDstriperust_Abate,"Davis, CA", 2011-11-16, 2012-05-15, 38.54, -121.736
NSGCplus_2012_UCDstriperust_Jackson,"Davis, CA", 2011-11-16, 2012-05-15, 38.54, -121.736
GRINcore_2000_PMildew_Kinston,"Kinston, NC", 2000-04-01, 2000-08-01, 35.3, -77.6
GRINcore_2001_PMildew_Kinston,"Kinston, NC", 2001-04-01, 2001-08-01, 35.3, -77.6
GRINcore_2002_PMildew_Kinston,"Kinston, NC", 2002-04-01, 2002-08-01, 35.3, -77.6
GRINcore_2003_PMildew_Kinston,"Kinston, NC", 2003-04-01, 2003-08-01, 35.3, -77.6
GRINcore_2005_PMildew_Kinston,"Kinston, NC", 2005-04-01, 2005-08-01, 35.3, -77.6
GRINcore_1999_PMildew_Kinston,"Kinston, NC", 1999-04-01, 1999-08-01, 35.3, -77.6
GRINcore_1996_PMildew_Kinston,"Kinston, NC", 1996-04-01, 1996-08-01, 35.3, -77.6
GRINcore_1969_Lysine,"Lincoln, NE", 1966-01-01, 1969-12-31, 40.806862, -96.681679
GRINcore_1984_Agron_Aberdeen,"Aberdeen, ID", 1984-05-15, 1984-05-15, 42.944, -112.88
GRINcore_1985_Agron_Aberdeen,"Aberdeen, ID", 1985-05-15, 1985-05-15, 42.944, -112.88
GRINcore_1986_Agron_Aberdeen,"Aberdeen, ID", 1986-05-15, 1986-05-15, 42.944, -112.88
GRINcore_1986_AgronPurif_Aberdeen,"Aberdeen, ID", 1986-05-15, 1986-05-15, 42.944, -112.88
GRINcore_1988_AgronPurif_Aberdeen,"Aberdeen, ID", 1988-05-15, 1988-05-15, 42.944, -112.88
GRINcore_1989_Agron_Maricopa,"Maricopa, AZ", 1988-11-01, 1989-05-15, 33.058, -112.047
GRINcore_1990_Agron_Maricopa,"Maricopa, AZ", 1989-11-01, 1990-05-15, 33.058, -112.047
GRINcore_1994_Agron_Maricopa,"Maricopa, AZ", 1993-11-01, 1994-06-01, 33.058, -112.047
GRINcore_1995_Agron_Maricopa,"Maricopa, AZ", 1994-11-01, 1995-05-01, 33.058, -112.047
SW-AMPanel_2012_Bozeman,"Bozeman, MT", 2012-05-04, 2012-08-17, 45.676, -111.157
HSWpanel_2012_Dry_OthelloWA,"Othello, WA", 2012-04-03, 2012-08-20, 46.792997, 119.042856
HSWpanel_2012_Irr_OthelloWA,"Othello, WA", 2012-04-03, 2012-08-20, 46.792997, 119.042856
SolidNIL_2012_Bozeman_dry,"Bozeman, MT", 2012-05-03, 2012-08-20, 45.676, -111.157
SolidNIL_2012_Bozeman_irr,"Bozeman, MT", 2012-05-07, 2012-08-28, 45.676, -111.157
SolidNIL_2012_Huntley,"Huntley, MT", 2012-03-23, 2012-08-02, 45.928, -108.246
SolidNIL_2012_Pullman,"Pullman, WA", 2012-04-25, 2012-08-16, 46.710, -117.162
SolidNIL_2012_Lind,"Lind, WA", 2012-03-09, 2012-08-02, 46.849, -118.65
SW-AMPanel_2012_Huntley,"Huntley, MT", 2012-05-12, 2012-08-31, 45.928, -108.246
NEBDUP_2010_Lincoln,"Lincoln, NE", 2009-09-24, 2010-06-30, 40.8568, -96.6069
NEBDUP_2010_Mead,"Mead, NE", 2009-09-17, 2010-07-08, 41.16186, -96.41481
NEBDUP_2010_ClayCenter,"Clay Center, NE", 2009-09-23, 2010-07-14, 40.34, -98.08
NEBDUP_2010_McCook,"McCook, NE", 2009-09-30, 2010-07-15, 40.08, -100.49
NEBDUP_2010_NPlatte,"North Platte, NE", 2009-09-29, 2010-07-28, 40.049722, -100.751667
NEBDUP_2010_Sidney,"Sidney, NE", 2009-09-10, 2010-07-28, 41.28879, -103.01318
NEBDUP_2010_Alliance,"Alliance, NE", 2009-09-09, 2010-07-27, 42.24911, -103.01468
NEBDUP_2010_SidneyOrg,"Sidney, NE", 2009-09-15, 2010-07-28, 41.13, -102.59
NEBDUP_2010_MeadOrg,"Mead, NE", 2009-10-20, 2010-07-22, 41.153, -96.4903
NEBDUP_2011_Lincoln,"Lincoln, NE", 2010-10-05, 2011-07-01, 40.8568, -96.6069
NEBDUP_2011_ClayCenter,"Clay Center, NE", 2010-10-21, 2011-07-15, 40.34, -98.08
NEBDUP_2011_McCook,"McCook, NE", 2010-09-22, 2011-07-18, 40.08, -100.49
NEBDUP_2011_NPlatte,"North Platte, NE", 2010-09-15, 2011-07-19, 41.049722, -100.751667
NEBDUP_2011_Alliance,"Alliance, NE", 2010-09-13, 2011-07-27, 42.24911, -103.01468
NEBDUP_2011_MeadOrg,"Mead, NE", 2010-10-07, 2011-07-25, 41.153, -96.4903
Rht8_2009_Bozeman_dry,"Bozeman, MT", 2009-05-14, 2009-09-02, 45.676, -111.157
Rht8_2009_Bozeman_irr,"Bozeman, MT", 2009-05-14, 2009-09-02, 45.676, -111.157
Rht8_2009_Kalispell,"Kalispell, MT", 2009-05-22, 2009-09-01, 48.187, -114.148
Rht8_2010_Havre,"Havre, MT", 2010-04-22, 2010-09-08, 48.506, -109.79
Rht8_2010_Huntley,"Huntley, MT", 2010-03-29, 2010-08-12, 45.928, -108.246
Rht8_2010_Kalispell,"Kalispell, MT", 2010-05-07, 2010-09-15, 48.187, -114.148
Rht8_2010_Bozeman_dry,"Bozeman, MT", 2010-04-26, 2011-08-12, 45.676, -111.157
Rht8_2011_Bozeman_dry,"Bozeman, MT", 2011-05-13, 2011-09-01, 45.676, -111.157
Rht8_2011_Kalispell,"Kalispell, MT", 2011-05-13, 2011-09-26, 48.187, -114.148
Rht8_2011_Huntley,"Huntley, MT", 2011-04-12, 2011-08-23, 45.928, -108.246
Rht8_2011_Lind,"Lind, WA", 2011-03-18, 2011-08-04, 46.849, -118.65
Rht8_2011_UCD,"Davis, CA", 2010-11-09, 2011-06-23, 38.533, -121.767
NSGCStripeRust-Spring_2011_Pullman,"Pullman, WA", 2011-04-29, 2011-07-19, 46.736933, -117.1178
NSGC_2011_NormN_Irr_Aberdeen,"Aberdeen, ID", 2011-04-19, 2011-09-01, 42.943405, -112.839322
NSGC_2011_NormN_Dry_Aberdeen,"Aberdeen, ID", 2011-04-19, 2011-08-31, 42.943405, -112.839322
NSGC_2011_LowN_Dry_Aberdeen,"Aberdeen, ID", 2011-04-19, 2011-08-30, 42.943405, -112.839322
NSGCstriperust_2011_UCD,"Davis, CA", 2010-11-18, 2011-06-01, 38.54, -121.736
SW-AMPanel_2011_Bozeman,"Bozeman, MT", 2011-05-06, 2011-09-07, 45.676, -111.157
SW-AMPanel_2012_Saskatoon,"Saskatoon, SK, Canada", 2012-09-05, 2012-05-15, 52.117, -106.65
TillerNIL_2012_Bozeman,"Bozeman, MT", 2012-05-03, 2012-08-21, 45.676, -111.157
TillerNIL_2012_Huntley,"Huntley, MT", 2012-03-16, 2012-08-02, 45.928, -108.246
TillerNIL_2012_Lind,"Lind, WA", 2012-03-09, 2012-08-02, 46.849, -118.65
TillerNIL_2012_Pullman,"Pullman, WA", 2012-04-25, 2012-08-16, 46.710, -117.162
HWWpanel_2012_Tipton,"Tipton, OK", 2011-11-01, 2012-06-05, 34.443159, -99.133337
6x4x_2012_Bozeman,"Bozeman, MT", 2012-05-04, 2012-08-18, 45.676, -111.157
1RS-Dry_2012_Davis,"Davis, CA", 2011-10-26, 2012-06-07,  38.525606, -121.772006
1RS-Irr_2012_Davis,"Davis, CA", 2011-10-26, 2012-06-07,  38.525606, -121.772006
SW-AMPanel_2012_Davis_Dry,"Davis, CA", 2011-10-26, 2012-06-14, 38.525632, -121.772774
SW-AMPanel_2012_Davis_Irr,"Davis, CA", 2011-10-26, 2012-06-14, 38.525632, -121.772774
SWWpanel_2012_Manhattan_Dry,"Manhattan, KS", 2012-03-05, 2012-07-02, 39.136236, -96.640199
SWWpanel_2012_Manhattan_Irr,"Manhattan, KS", 2012-03-05, 2012-07-02, 39.136924, -96.640206
CornellMaster_2007_McGowan,"McGowan, NY", 2006-09-22, 2007-07-24, 42.44888, -76.45111
CornellMaster_2008_Helfer,"Helfer, NY", 2007-10-05, 2008-07-18, 42.44472, 76.4397
CornellMaster_2008_Ketola,"Ketola, NY", 2007-09-24, 2008-07-16, 42.47111, 76.43611
CornellMaster_2008_Snyder,"Snyder, NY", 2007-09-26, 2008-07-19, 42.48250, 76.44833
CornellMaster_2009_Helfer,"Helfer, NY", 2008-09-23, 0000-00-00, 42.44416, 76.44055
CornellMaster_2009_Ketola,"Ketola, NY", 2008-09-26, 0000-00-00, 42.46916, 76.43861
CornellMaster_2009_McGowan,"McGowan, NY", 2008-09-22, 0000-00-00, 42.44888, -76.45111
CornellMaster_2010_Helfer,"Helfer, NY", 2009-09-19, 2010-07-09, 42.44638, 72.44027
CornellMaster_2010_Snyder,"Snyder, NY", 2009-09-18, 2010-07-13, 42.48250, 76.44833
CornellMaster_2010_Ketola,"Ketola, NY", 2009-09-17, 2010-07-11, 42.47111, 76.43611
CornellMaster_2011_McGowan,"McGowan, NY", 2010-09-21, 2011-07-20, 42.44888, -76.45111
CornellMaster_2011_Helfer,"Helfer, NY", 2010-09-23, 2011-07-21, 42.44416, 76.44055
CornellMaster_2011_Ketola,"Ketola, NY", 2010-09-20, 2011-07-14, 42.47000, 76.44
CornellMaster_2012_Snyder,"Snyder, NY", 2012-10-11, 2012-07-10, 42.48250, 76.44833
CornellMaster_2012_Helfer,"Helfer, NY", 2011-10-09, 2012-07-12, 42.44638, 76.44027
CornellMaster_2012_Ketola,"Ketola, NY", 2011-10-10, 2012-07-06, 42.47111, 76.43611
KSRIL_2012_Bozeman,"Bozeman, MT", 2012-05-14, 2012-08-24, 45.676, -111.157
AMPanel_LR_2011_StPaul,"St. Paul, MN", 2011-05-01, 0000-00-00, 44.989, -93.185
AMPanel_LR_2012_StPaul,"St. Paul, MN", 2012-05-01, 0000-00-00, 44.990, -93.186
AMPanel_LR_2012_Crookston,"Crookston, MN", 2012-05-01, 0000-00-00, 47.778, -96.610
AMPanel_LR_2013_Seedling,"St. Paul, MN", 2013-02-01, 0000-00-00, 44.990, -93.186
PhotoperiodMG_2012_Bozeman,"Bozeman, MT", 2013-05-02, 2013-08-22, 45.676, -111.157
NSGCStripeRust-Spring_2012_Pullman,"Pullman, WA", 2012-05-09, 2012-07-12, 46.736933, -117.1178
NSGCStripeRust-Spring_2012_MtVernon,"Mt. Vernon, WA", 2012-05-15, 2012-08-01, 48.439167, -122.3925
NSGCStripeRust-Winter_2011_2012_Pullman,"Pullman, WA", 2011-10-25, 2012-06-30, 46.736933, -117.1178
NSGCStripeRust-Winter_2011_2012_MtVernon,"Mt. Vernon, WA", 2011-10-18, 2012-06-11, 48.439167, -122.3925
HWWpanel_2012_Etter,"Etter, TX", 2011-11-03, 2012-06-10, 36.03, -102.00
HWWpanel_2013_FortCollins_Irr,"Fort Collins, CO", 2012-10-02, 2013-07-17, 40.651866, -104.999009
HWWpanel_2013_FortCollins_Dry,"Fort Collins, CO", 2012-10-02, 2013-07-17, 40.651866, -104.999009
HWWpanel_2012_Bushland,"Bushland, TX", 2011-11-03, 2012-06-10, 35.1833, -102.1
HWWpanel_2012_Greeley_Irr,"Greeley, CO", 2012-10-19, 2012-07-13, 40.423314, -104.709132
HWWpanel_2012_Greeley_Dry,"Greeley, CO", 2012-10-19, 2012-07-03, 40.423314, -104.709132
HWWpanel_2012_Manhattan_Irr,"Manhattan, KS", 2011-11-18, 2012-07-03, 39.137222, -96.640442
HWWpanel_2012_Manhattan_Dry,"Manhattan, KS", 2011-11-18, 2012-07-03, 39.136457, -96.64041
HWWpanel_2013_Hays,"Hays, KS", 2012-10-10, 2013-07-03, 38.87917, -99.32677
SW-AMPanel_2013_Bozeman,"Bozeman, MT", 2013-05-03, 2013-08-22, 45.676, -111.157
SW-AMPanel_2013_Huntley,"Huntley, MT", 2013-03-15, 2013-08-16, 45.928, -108.246
SW-AMPanel_2013_Imperial_Irr,"El Centro, CA", 2012-12-11, 2013-05-20, 32.808, -115.446
SW-AMPanel_2013_Imperial_Dry,"El Centro, CA", 2012-12-11, 2013-05-20, 32.808, -115.446
HWWpanel_2013_Mead,"Ithaca, NE", 2012-09-25, 2013-07-17, 41.284643, -96.411059
HWWpanel_2013_Ardmore,"Ardmore, OK", 2012-10-12, 2013-06-25, 34.184524, -97.093863
NSGC-NormN-Irr_2013_Aberdeen,"Aberdeen, ID", 2012-10-10, 2013-08-12, 42.943405, -112.839322
NSGC-NormN-Dry_2013_Aberdeen,"Aberdeen, ID", 2012-10-10, 2013-08-13, 42.943405, -112.839322
NSGC-LowN-Dry_2013_Aberdeen,"Aberdeen, ID", 2012-10-10, 2013-08-14, 42.943405, -112.839322
NSGCStripeRust_2013spr_Pullman,"Pullman, WA", 2013-04-17, 2013-07-20, 46.736933, -117.1178
